srcIP,destIP,srcMAC,destMAC,srcPort,destPort,isSYN,isRST,isACK,isFIN,isURG,isPSH,packetLen
/157.240.16.16,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),42508 (unknown),false,false,true,false,false,true,281
/172.16.83.127,/157.240.16.16,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,42508 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/157.240.16.16,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,42508 (unknown),443 (HTTPS),false,false,true,false,false,true,495
/157.240.16.16,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),42508 (unknown),false,false,true,false,false,true,82
/172.16.83.127,/157.240.16.16,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,42508 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/157.240.16.35,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,36032 (unknown),443 (HTTPS),false,false,true,false,false,true,401
/172.16.83.127,/157.240.16.35,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,36032 (unknown),443 (HTTPS),false,false,true,false,false,false,1500
/172.16.83.127,/157.240.16.35,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,36032 (unknown),443 (HTTPS),false,false,true,false,false,true,79
/157.240.16.35,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),36032 (unknown),false,false,true,false,false,false,40
/157.240.16.35,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),36032 (unknown),false,false,true,false,false,true,82
/172.16.83.127,/157.240.16.35,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,36032 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/157.240.16.35,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),36032 (unknown),false,false,true,false,false,true,310
/172.16.83.127,/157.240.16.35,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,36032 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/157.240.16.16,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),42508 (unknown),false,false,true,false,false,true,281
/172.16.83.127,/157.240.16.16,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,42508 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/157.240.16.16,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,42508 (unknown),443 (HTTPS),false,false,true,false,false,true,485
/157.240.16.16,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),42508 (unknown),false,false,true,false,false,true,82
/172.16.83.127,/157.240.16.16,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,42508 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,41974 (unknown),443 (HTTPS),true,false,false,false,false,false,60
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),41974 (unknown),true,false,true,false,false,false,52
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,41974 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,41974 (unknown),443 (HTTPS),false,false,true,false,false,true,557
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),41974 (unknown),false,false,true,false,false,false,40
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),41974 (unknown),false,false,true,false,false,true,196
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,41974 (unknown),443 (HTTPS),false,false,true,false,false,false,40
/172.16.83.127,/216.58.197.46,e8:de:27:12:cd:0b,44:31:92:7d:8d:a6,41974 (unknown),443 (HTTPS),false,false,true,false,false,true,91
/216.58.197.46,/172.16.83.127,44:31:92:7d:8d:a6,e8:de:27:12:cd:0b,443 (HTTPS),41974 (unknown),false,false,true,false,false,false,40
